timestamp,Infrared to Red Signal Ratio
06/19/20 00:12:01,-2
06/19/20 00:13:01,1
06/19/20 00:14:01,-6
06/19/20 00:15:01,0
06/19/20 00:16:01,5
06/19/20 00:17:02,5
06/19/20 00:18:02,-3
06/19/20 00:19:02,2
06/19/20 00:20:02,0
06/19/20 00:21:02,-2
06/19/20 00:22:02,0
06/19/20 00:23:02,-1
06/19/20 00:24:02,-1
06/19/20 00:25:02,-1
06/19/20 00:26:02,0
06/19/20 00:27:02,0
06/19/20 00:28:02,-1
06/19/20 00:29:02,-1
06/19/20 00:30:02,1
06/19/20 00:31:02,0
06/19/20 00:32:02,0
06/19/20 00:33:03,-2
06/19/20 00:34:03,-2
06/19/20 00:35:03,-1
06/19/20 00:36:03,-6
06/19/20 00:37:03,0
06/19/20 00:38:03,2
06/19/20 00:39:03,-4
06/19/20 00:40:03,1
06/19/20 00:41:03,-12
06/19/20 00:42:03,-13
06/19/20 00:43:03,-18
06/19/20 00:44:03,10
06/19/20 00:45:03,0
06/19/20 00:46:03,0
06/19/20 00:47:03,-3
06/19/20 00:48:03,0
06/19/20 00:49:03,3
06/19/20 00:50:03,-6
06/19/20 00:51:04,28
06/19/20 00:52:04,-15
06/19/20 00:53:04,-3
06/19/20 00:54:04,0
06/19/20 00:55:04,6
06/19/20 00:56:04,16
06/19/20 00:57:04,6
06/19/20 00:58:05,9
06/19/20 00:59:05,4
06/19/20 01:00:05,-1
06/19/20 01:01:05,8
06/19/20 01:02:05,1
06/19/20 01:03:05,0
06/19/20 01:04:05,-13
06/19/20 01:05:05,-24
06/19/20 01:06:06,-7
06/19/20 01:07:05,-7
06/19/20 01:08:06,-4
06/19/20 01:09:06,-16
06/19/20 01:10:06,-9
06/19/20 01:11:06,0
06/19/20 01:12:06,-10
06/19/20 01:13:06,0
06/19/20 01:14:06,-1
06/19/20 01:15:06,-15
06/19/20 01:16:06,-77
06/19/20 01:17:06,0
06/19/20 01:18:06,-16
06/19/20 01:19:06,0
06/19/20 01:20:06,0
06/19/20 01:21:06,8
06/19/20 01:22:06,9
06/19/20 01:23:07,-1
06/19/20 01:24:06,-5
06/19/20 01:25:06,7
06/19/20 01:26:07,16
06/19/20 01:27:07,0
06/19/20 01:28:07,-1
06/19/20 01:29:07,10
06/19/20 01:30:07,1
06/19/20 01:31:07,-1
06/19/20 01:32:07,30
06/19/20 01:33:07,0
06/19/20 01:34:07,-15
06/19/20 01:35:07,7
06/19/20 01:36:07,7
06/19/20 01:37:07,-1
06/19/20 01:38:07,54
06/19/20 01:39:07,6
06/19/20 01:40:07,-3
06/19/20 01:41:07,17
06/19/20 01:42:08,3
06/19/20 01:43:08,-5
06/19/20 01:44:08,13
06/19/20 01:45:08,33
06/19/20 01:46:08,-26
06/19/20 01:47:08,-2
06/19/20 01:48:08,0
06/19/20 01:49:08,0
06/19/20 01:50:08,0
06/19/20 01:51:08,-2
06/19/20 01:52:08,-1
06/19/20 01:53:08,4
06/19/20 01:54:08,-3
06/19/20 01:55:08,-1
06/19/20 01:56:08,0
06/19/20 01:57:08,0
06/19/20 01:58:09,0
06/19/20 01:59:08,2
06/19/20 02:00:09,-1
06/19/20 02:01:09,2
06/19/20 02:02:09,7
06/19/20 02:03:09,0
06/19/20 02:04:09,11
06/19/20 02:05:09,0
06/19/20 02:06:09,-2
06/19/20 02:07:09,-1
06/19/20 02:08:09,0
06/19/20 02:09:09,-1
06/19/20 02:10:09,1
06/19/20 02:11:11,0
06/19/20 02:12:11,-1
06/19/20 02:13:11,-1
06/19/20 02:14:11,-2
06/19/20 02:15:12,-13
06/19/20 02:16:11,-2
06/19/20 02:17:12,-6
06/19/20 02:18:12,4
06/19/20 02:19:12,-3
06/19/20 02:20:12,1
06/19/20 02:21:12,-1
06/19/20 02:22:12,1
06/19/20 02:23:12,3
06/19/20 02:24:12,12
06/19/20 02:25:12,-1
06/19/20 02:26:12,2
06/19/20 02:27:12,1
06/19/20 02:28:12,-1
06/19/20 02:29:12,-3
06/19/20 02:30:12,3
06/19/20 02:31:12,63
06/19/20 02:32:12,-3
06/19/20 02:33:13,0
06/19/20 02:34:13,-6
06/19/20 02:35:13,-13
06/19/20 02:36:13,0
06/19/20 02:37:13,0
06/19/20 02:38:13,-8
06/19/20 02:39:13,-12
06/19/20 02:40:13,0
06/19/20 02:41:13,8
06/19/20 02:42:13,0
06/19/20 02:43:13,0
06/19/20 02:44:13,-3
06/19/20 02:45:13,-2
06/19/20 02:46:13,0
06/19/20 02:47:13,-1
06/19/20 02:48:13,-1
06/19/20 02:49:13,13
06/19/20 02:50:14,-9
06/19/20 02:51:14,0
06/19/20 02:52:14,-12
06/19/20 02:53:14,-12
06/19/20 02:54:14,-3
06/19/20 02:55:14,-4
06/19/20 02:56:14,-5
06/19/20 02:57:14,40
06/19/20 02:58:16,-2
06/19/20 02:59:16,0
06/19/20 03:00:16,0
06/19/20 03:01:17,-1
06/19/20 03:02:17,0
06/19/20 03:03:17,-6
06/19/20 03:04:17,1
06/19/20 03:05:17,-2
06/19/20 03:06:18,9
06/19/20 03:07:18,-2
06/19/20 03:08:19,-5
06/19/20 03:09:19,-2
06/19/20 03:10:19,-2
06/19/20 03:11:19,2
06/19/20 03:12:19,-1
06/19/20 03:13:19,6
06/19/20 03:14:19,32
06/19/20 03:15:19,21
06/19/20 03:16:19,0
06/19/20 03:17:19,-1
06/19/20 03:18:19,0
06/19/20 03:19:19,-1
06/19/20 03:20:19,-1
06/19/20 03:21:19,-4
06/19/20 03:22:19,0
06/19/20 03:23:19,7
06/19/20 03:24:20,0
06/19/20 03:25:20,12
06/19/20 03:26:20,-2
06/19/20 03:27:20,-1
06/19/20 03:28:20,8
06/19/20 03:29:20,-3
06/19/20 03:30:20,-5
06/19/20 03:31:20,0
06/19/20 03:32:20,0
06/19/20 03:33:20,0
06/19/20 03:34:20,-2
06/19/20 03:35:20,6
06/19/20 03:36:20,-7
06/19/20 03:37:20,23
06/19/20 03:38:20,0
06/19/20 03:39:20,-2
06/19/20 03:40:20,-1
06/19/20 03:41:21,-2
06/19/20 03:42:21,-1
06/19/20 03:43:21,0
06/19/20 03:44:21,-7
06/19/20 03:45:21,5
06/19/20 03:46:21,4
06/19/20 03:47:21,52
06/19/20 03:48:21,0
06/19/20 03:49:21,-1
06/19/20 03:50:21,2
06/19/20 03:51:21,0
06/19/20 03:52:21,0
06/19/20 03:53:21,0
06/19/20 03:54:21,-4
06/19/20 03:55:21,-10
06/19/20 03:56:21,22
06/19/20 03:57:21,0
06/19/20 03:58:21,-3
06/19/20 03:59:22,11
06/19/20 04:00:22,14
06/19/20 04:01:22,2
06/19/20 04:02:22,-19
06/19/20 04:03:22,-1
06/19/20 04:04:22,-1
06/19/20 04:05:22,-1
06/19/20 04:06:22,6
06/19/20 04:07:22,1
06/19/20 04:08:22,-2
06/19/20 04:09:22,0
06/19/20 04:10:22,-1
06/19/20 04:11:22,0
06/19/20 04:12:22,31
06/19/20 04:13:22,13
06/19/20 04:14:23,-4
06/19/20 04:15:22,-6
06/19/20 04:16:23,-3
06/19/20 04:17:23,6
06/19/20 04:18:23,3
06/19/20 04:19:23,-4
06/19/20 04:20:23,-6
06/19/20 04:21:23,-5
06/19/20 04:22:23,2
06/19/20 04:23:23,-1
06/19/20 04:24:23,-7
06/19/20 04:25:23,-16
06/19/20 04:26:23,5
06/19/20 04:27:23,-11
06/19/20 04:28:23,-5
06/19/20 04:29:23,-1
06/19/20 04:30:23,-1
06/19/20 04:31:23,-1
06/19/20 04:32:24,0
06/19/20 04:33:24,4
06/19/20 04:34:24,-1
06/19/20 04:35:24,1
06/19/20 04:36:24,0
06/19/20 04:37:24,2
06/19/20 04:38:24,-2
06/19/20 04:39:24,-1
06/19/20 04:40:24,15
06/19/20 04:41:26,1
06/19/20 04:42:26,1
06/19/20 04:43:26,2
06/19/20 04:44:26,0
06/19/20 04:45:26,-1
06/19/20 04:46:26,8
06/19/20 04:47:26,27
06/19/20 04:48:27,6
06/19/20 04:49:27,4
06/19/20 04:50:27,0
06/19/20 04:51:27,0
06/19/20 04:52:27,-1
06/19/20 04:53:27,0
06/19/20 04:54:27,1
06/19/20 04:55:29,-5
06/19/20 04:56:29,1
06/19/20 04:57:29,-6
06/19/20 04:58:29,-1
06/19/20 04:59:29,0
06/19/20 05:00:29,5
06/19/20 05:01:29,13
06/19/20 05:02:29,-39
06/19/20 05:03:29,-18
06/19/20 05:04:29,1
06/19/20 05:05:29,-2
06/19/20 05:06:30,2
06/19/20 05:07:30,3
06/19/20 05:08:30,-4
06/19/20 05:09:30,16
06/19/20 05:10:30,-15
06/19/20 05:11:30,-1
06/19/20 05:12:30,0
06/19/20 05:13:30,1
06/19/20 05:14:30,0
06/19/20 05:15:30,6
06/19/20 05:16:30,0
06/19/20 05:17:30,-9
06/19/20 05:18:30,8
06/19/20 05:19:30,0
06/19/20 05:20:30,-3
06/19/20 05:21:30,9
06/19/20 05:22:30,10
06/19/20 05:23:31,-6
06/19/20 05:24:31,-1
06/19/20 05:25:31,-6
06/19/20 05:26:31,-9
06/19/20 05:27:31,-13
06/19/20 05:28:31,1
06/19/20 05:29:31,-2
06/19/20 05:30:31,0
06/19/20 05:31:31,-1
06/19/20 05:32:31,-1
06/19/20 05:33:31,-6
06/19/20 05:34:31,-7
06/19/20 05:35:31,2
06/19/20 05:36:31,0
06/19/20 05:37:31,-14
06/19/20 05:38:31,0
06/19/20 05:39:31,-6
06/19/20 05:40:31,-6
06/19/20 05:41:32,-6
06/19/20 05:42:32,-5
06/19/20 05:43:32,-4
06/19/20 05:44:32,-9
06/19/20 05:45:32,-3
06/19/20 05:46:32,-1
06/19/20 05:47:32,-17
06/19/20 05:48:32,-2
06/19/20 05:49:32,-3
06/19/20 05:50:32,-6
06/19/20 05:51:32,-5
06/19/20 05:52:32,1
06/19/20 05:53:32,-1
06/19/20 05:54:32,-3
06/19/20 05:55:32,-4
06/19/20 05:56:32,-5
06/19/20 05:57:32,0
06/19/20 05:58:33,-3
06/19/20 05:59:33,10
06/19/20 06:00:33,-4
06/19/20 06:01:33,-2
06/19/20 06:02:33,-6
06/19/20 06:03:33,-1
06/19/20 06:04:33,0
06/19/20 06:05:33,2
06/19/20 06:06:33,4
06/19/20 06:07:33,5
06/19/20 06:08:33,6
06/19/20 06:09:33,13
06/19/20 06:10:33,-1
06/19/20 06:11:33,0
06/19/20 06:12:33,0
06/19/20 06:13:33,5
06/19/20 06:14:34,0
06/19/20 06:15:34,-14
06/19/20 06:16:34,1
06/19/20 06:17:34,-4
06/19/20 06:18:34,-1
06/19/20 06:19:34,4
06/19/20 06:20:34,-1
06/19/20 06:21:34,17
06/19/20 06:22:34,-53
06/19/20 06:23:34,-1
06/19/20 06:24:34,0
06/19/20 06:25:34,-1
06/19/20 06:26:34,0
06/19/20 06:27:34,0
06/19/20 06:28:34,-15
06/19/20 06:29:34,6
06/19/20 06:30:34,-49
06/19/20 06:31:35,0
06/19/20 06:32:35,-3
06/19/20 06:33:35,45
06/19/20 06:34:35,-10
06/19/20 06:35:35,2
06/19/20 06:36:35,1
06/19/20 06:37:35,0
06/19/20 06:38:35,0
06/19/20 06:39:35,0
06/19/20 06:40:35,2
06/19/20 06:41:35,-16
06/19/20 06:42:35,-5
06/19/20 06:43:35,9
06/19/20 06:44:35,-2
06/19/20 06:45:35,4
06/19/20 06:46:35,-83
06/19/20 06:47:35,-48
06/19/20 06:48:35,7
06/19/20 06:49:36,4
06/19/20 06:50:36,4
06/19/20 06:51:36,1
06/19/20 06:52:36,6
06/19/20 06:53:36,6
06/19/20 06:54:36,2
06/19/20 06:55:36,9
06/19/20 06:56:36,0
06/19/20 06:57:36,0
06/19/20 06:58:36,7
06/19/20 06:59:36,1
06/19/20 07:00:36,-5
06/19/20 07:01:36,-1
06/19/20 07:02:36,22
06/19/20 07:03:36,-15
06/19/20 07:04:36,30
06/19/20 07:05:36,50
06/19/20 07:06:37,11
06/19/20 07:07:37,23
06/19/20 07:08:37,-2
06/19/20 07:09:37,24
06/19/20 07:10:37,0
06/19/20 07:11:37,1
06/19/20 07:12:37,-1
06/19/20 07:13:37,-4
06/19/20 07:14:37,-3
06/19/20 07:15:37,-6
06/19/20 07:16:37,0
06/19/20 07:17:37,-1
06/19/20 07:18:37,11
06/19/20 07:19:37,0
06/19/20 07:20:37,-2
06/19/20 07:21:37,11
06/19/20 07:22:37,0
06/19/20 07:23:38,1
06/19/20 07:24:38,43
06/19/20 07:25:38,1
06/19/20 07:26:38,14
06/19/20 07:27:38,9
06/19/20 07:28:38,8
06/19/20 07:29:38,49
06/19/20 07:30:38,7
06/19/20 07:31:38,7
06/19/20 07:32:38,4
06/19/20 07:33:38,4
06/19/20 07:34:38,29
06/19/20 07:35:38,0
06/19/20 07:36:38,0
06/19/20 07:37:38,-3
06/19/20 07:38:38,0
06/19/20 07:39:38,-9
06/19/20 07:40:39,3
06/19/20 07:41:39,-40
06/19/20 07:42:39,-10
06/19/20 07:43:39,-1
06/19/20 07:44:39,-1
06/19/20 07:45:39,-7
06/19/20 07:46:39,6
06/19/20 07:47:39,-6
06/19/20 07:48:39,-5
06/19/20 07:49:39,0
06/19/20 07:50:39,5
06/19/20 07:51:39,22
06/19/20 07:52:39,-7
06/19/20 07:53:39,3
06/19/20 07:54:39,0
06/19/20 07:55:39,-32
06/19/20 07:56:39,10
06/19/20 07:57:40,9
06/19/20 07:58:40,8
06/19/20 07:59:40,-15
06/19/20 08:00:40,-1
06/19/20 08:01:40,-22
